,player,total_workers,total_army,fraction,winner,replay_filename
1315,iGXiGua,71,4025,P,0,replays/firstRun\7c52b27c5aa444459d815d9680196500.SC2Replay
1316,iGRushcrazy,69,1425,P,0,replays/firstRun\7c52b27c5aa444459d815d9680196500.SC2Replay
1317,iGMacSed,0,0,U,0,replays/firstRun\7c52b27c5aa444459d815d9680196500.SC2Replay
1318,iGJim,0,0,U,0,replays/firstRun\7c52b27c5aa444459d815d9680196500.SC2Replay
1319,Reynor,86,11850,Z,1,replays/firstRun\7c580096c45541c88828a1b21270c65a.SC2Replay
1320,lllIIIIllll,77,5050,P,0,replays/firstRun\7c580096c45541c88828a1b21270c65a.SC2Replay
1321,Serral,74,3175,Z,1,replays/firstRun\7c5fa11edc6b4a8cb160ae83085aa323.SC2Replay
1322,PiLiPiLi,56,2350,P,0,replays/firstRun\7c5fa11edc6b4a8cb160ae83085aa323.SC2Replay
1323,Solar,85,10425,Z,1,replays/firstRun\7c686c769ec149019b3ab5ef44eaeabe.SC2Replay
1324,lIIllllIIlll,83,6350,T,0,replays/firstRun\7c686c769ec149019b3ab5ef44eaeabe.SC2Replay
1325,Snute,62,1525,Z,0,replays/firstRun\7c815771fe774105ab79934299c135a5.SC2Replay
1326,Reynor,58,2100,Z,1,replays/firstRun\7c815771fe774105ab79934299c135a5.SC2Replay
1327,Stephano,17,650,Z,1,replays/firstRun\7c932d9ee9c7473eacd518903eb509bb.SC2Replay
1328,MMA,22,150,T,0,replays/firstRun\7c932d9ee9c7473eacd518903eb509bb.SC2Replay
1329,HeroMarine,49,3500,T,0,replays/firstRun\7cacae491a1d4ad28ca181961983c274.SC2Replay
1330,OGZest,64,850,P,1,replays/firstRun\7cacae491a1d4ad28ca181961983c274.SC2Replay
1331,uThermal,39,2125,T,0,replays/firstRun\7cbf23cf7d5d44919601a81aa2a248fe.SC2Replay
1332,INnoVation,50,2400,T,1,replays/firstRun\7cbf23cf7d5d44919601a81aa2a248fe.SC2Replay
1333,SortOf,81,10000,Z,1,replays/firstRun\7cc5efed6666433cb72c866368b747b0.SC2Replay
1334,Time,68,7000,T,0,replays/firstRun\7cc5efed6666433cb72c866368b747b0.SC2Replay
1335,Maru,47,1750,T,1,replays/firstRun\7d0678a239c94f639b04e1b2893ecf08.SC2Replay
1336,Crimson,56,2325,Z,0,replays/firstRun\7d0678a239c94f639b04e1b2893ecf08.SC2Replay
1337,Nerchio,58,8400,Z,1,replays/firstRun\7d0aad86fb614eea815702d0cda2a4ff.SC2Replay
1338,SortOf,66,11150,Z,0,replays/firstRun\7d0aad86fb614eea815702d0cda2a4ff.SC2Replay
1339,HuShang,28,625,P,1,replays/firstRun\7d4ce3f69d02405bbd268cea6cb28f9c.SC2Replay
