,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
7924,LiquidTLO,30,5108,1050,6.0,60.0,340,Zerg,0,replays/all\9fbcaa8de7c34d80b0510ee2662f82f5.SC2Replay
7925,YoGo,26,4947,675,5.5,36.0,338,Zerg,0,replays/all\9fbcaa8de7c34d80b0510ee2662f82f5.SC2Replay
7926,Nice,63,10123,1925,20.0,109.0,544,Protoss,0,replays/all\9fbec2cc3c01484c965572b6de3bf0c9.SC2Replay
7927,Armani,58,10914,3675,36.5,106.0,528,Zerg,1,replays/all\9fbec2cc3c01484c965572b6de3bf0c9.SC2Replay
7928,iAsonu,68,35634,7300,84.0,170.0,671,Zerg,0,replays/all\9fbfc9be2d9041418676ccc8af60b04c.SC2Replay
7929,PtitDrogo,64,21904,2450,27.0,141.0,640,Protoss,1,replays/all\9fbfc9be2d9041418676ccc8af60b04c.SC2Replay
7930,PtitDrogo,49,10995,900,10.0,85.0,459,Protoss,0,replays/all\9fc0ab9a079146ff9ba97c521d82deb9.SC2Replay
7931,HeRoMaRinE,47,10738,1900,29.0,86.0,467,Terraner,1,replays/all\9fc0ab9a079146ff9ba97c521d82deb9.SC2Replay
7932,DnS,39,14062,1225,14.0,78.0,463,Protoss,1,replays/all\9fc6971ebe3044fd88e407e74e159170.SC2Replay
7933,llllllllllll,35,12543,875,10.0,70.0,484,Protoss,0,replays/all\9fc6971ebe3044fd88e407e74e159170.SC2Replay
7934,Vanya,22,5242,850,7.0,44.0,257,Zerg,1,replays/all\9fc91ea65c344d2eaa64df53f4b0b19a.SC2Replay
7935,goblin,28,4486,300,4.0,46.0,255,Protoss,0,replays/all\9fc91ea65c344d2eaa64df53f4b0b19a.SC2Replay
7936,Toodming,33,12129,3950,48.0,108.0,532,Zerg,0,replays/all\9fd41c440718489b9aedb158e6c5767b.SC2Replay
7937,Dark,43,12174,3850,48.0,84.0,522,Zerg,1,replays/all\9fd41c440718489b9aedb158e6c5767b.SC2Replay
