,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
358,miwa,25,5043,1250,25,332,Z,0,replays/2ndRun\6c912ce5b5d04b16a7e45c54f0249aff.SC2Replay
359,LiquidSnute,76,16607,3075,39,567,Z,1,replays/2ndRun\6cb39abbe5b94ec9943a30b4272a61e2.SC2Replay
360,JJAKJI,47,16073,1050,13,578,T,0,replays/2ndRun\6cb39abbe5b94ec9943a30b4272a61e2.SC2Replay
361,Dana,62,15307,5900,58,621,Z,1,replays/2ndRun\6cb6138e6ae74d4dacf211b3d5c74651.SC2Replay
362,DnS,66,15352,1975,10,588,P,0,replays/2ndRun\6cb6138e6ae74d4dacf211b3d5c74651.SC2Replay
363,Semper,48,13508,1600,16,496,T,1,replays/2ndRun\6cba0a637d414eb0ac2140dea8c00d64.SC2Replay
364,GogojOey,67,10968,1975,27,488,Z,0,replays/2ndRun\6cba0a637d414eb0ac2140dea8c00d64.SC2Replay
365,GogojOey,24,5924,1000,13,276,Z,1,replays/2ndRun\6d072f7826d142a08bebc34857d049a7.SC2Replay
366,yohilo,25,5321,250,4,277,T,0,replays/2ndRun\6d072f7826d142a08bebc34857d049a7.SC2Replay
367,Zanster,71,14501,3450,28,559,Z,1,replays/2ndRun\6d08917103914cc6a89b41e2ac5f81ed.SC2Replay
368,Sevnin,46,21908,1350,6,553,P,0,replays/2ndRun\6d08917103914cc6a89b41e2ac5f81ed.SC2Replay
369,Elazer,58,14118,2675,44,534,Z,0,replays/2ndRun\6d22006bfddb4a3ca4e472cb4334f0bf.SC2Replay
370,Zanster,66,13723,3500,32,549,Z,1,replays/2ndRun\6d22006bfddb4a3ca4e472cb4334f0bf.SC2Replay
371,ShoWTimE,63,25398,1900,10,706,P,1,replays/2ndRun\6d241744c01e4bccb88e39c18d33126f.SC2Replay
372,Kelazhur,66,52897,6250,72,910,T,0,replays/2ndRun\6d241744c01e4bccb88e39c18d33126f.SC2Replay
373,GOStephano,31,25098,7825,70,805,Z,1,replays/2ndRun\6d24693d195d4709ab0305fdba65808c.SC2Replay
374,HellraiseR,48,17257,2100,7,728,P,0,replays/2ndRun\6d24693d195d4709ab0305fdba65808c.SC2Replay
375,MightyKiwi,64,90967,12125,107,1204,Z,0,replays/2ndRun\6d31929e8baa486eb5cbe70dbaf70705.SC2Replay
376,BackupA,72,37393,4650,16,870,P,1,replays/2ndRun\6d31929e8baa486eb5cbe70dbaf70705.SC2Replay
377,soO,65,32619,9825,90,718,Z,0,replays/2ndRun\6d608496dbaa48a5bfe7d7db4e30b5e3.SC2Replay
378,Serral,68,28111,10150,93,729,Z,1,replays/2ndRun\6d608496dbaa48a5bfe7d7db4e30b5e3.SC2Replay
379,JonSnow,40,8992,3100,42,476,Z,0,replays/2ndRun\6d73b5feb8914cb5b82e14dfe4566878.SC2Replay
380,Has,42,11295,725,3,437,P,1,replays/2ndRun\6d73b5feb8914cb5b82e14dfe4566878.SC2Replay
381,NoPinSea,43,22442,775,3,677,P,0,replays/2ndRun\6daea7159c684624abc64295357ed3bc.SC2Replay
382,PiG,39,20251,4900,71,615,Z,1,replays/2ndRun\6daea7159c684624abc64295357ed3bc.SC2Replay
383,Lambo,34,8858,2150,42,466,Z,1,replays/2ndRun\6db8479ce3424b78abe84c58ccb528ee.SC2Replay
384,SouLeer,28,9740,2625,66,501,Z,0,replays/2ndRun\6db8479ce3424b78abe84c58ccb528ee.SC2Replay
385,Oobios,42,15485,1700,30,468,Z,0,replays/2ndRun\6dd1b6aef2d943118a3fc421346a0f84.SC2Replay
386,RaiN,42,13158,700,5,423,P,1,replays/2ndRun\6dd1b6aef2d943118a3fc421346a0f84.SC2Replay
387,Zest,41,12232,1000,6,481,P,1,replays/2ndRun\6e47ba4ef06f4d088b2b426305450b2d.SC2Replay
388,HeRoMaRinE,44,11439,1175,16,522,T,0,replays/2ndRun\6e47ba4ef06f4d088b2b426305450b2d.SC2Replay
389,InZaNe,70,20353,4700,54,753,T,1,replays/2ndRun\6e4c23af482547b9943dfd45a2c8e0fb.SC2Replay
390,eonblu,67,31724,5300,94,716,Z,0,replays/2ndRun\6e4c23af482547b9943dfd45a2c8e0fb.SC2Replay
391,Guru,76,96846,9900,82,1111,Z,0,replays/2ndRun\6e6259e6b3264a17951ff03616a71ae5.SC2Replay
392,Scarlett,64,49560,10350,81,1104,Z,1,replays/2ndRun\6e6259e6b3264a17951ff03616a71ae5.SC2Replay
393,HeroMarine,75,39251,8100,83,879,T,1,replays/2ndRun\6e72a232614143c6ba2e74510c286ed7.SC2Replay
394,Silky,78,60816,10525,166,920,Z,0,replays/2ndRun\6e72a232614143c6ba2e74510c286ed7.SC2Replay
395,Bunny,94,35491,8475,44,996,T,0,replays/2ndRun\6e95c5fbd7154bce9ba4fad4475a3373.SC2Replay
396,TYTY,110,84185,8725,43,1220,T,1,replays/2ndRun\6e95c5fbd7154bce9ba4fad4475a3373.SC2Replay
397,TRUE,57,15590,2525,42,556,Z,1,replays/2ndRun\6e9679e2652349c78262cace47c909d6.SC2Replay
398,TIME,37,14196,2000,15,555,T,0,replays/2ndRun\6e9679e2652349c78262cace47c909d6.SC2Replay
399,TLO,45,12735,5875,66,603,Z,1,replays/2ndRun\6eb6749821cb482e94e9a630bc89f207.SC2Replay
400,Has,51,24301,750,3,647,P,0,replays/2ndRun\6eb6749821cb482e94e9a630bc89f207.SC2Replay
401,PiLiPiLi,66,22886,1400,6,595,P,0,replays/2ndRun\6ed7dc76c0f94dd8b1ba1f86a05d7a9f.SC2Replay
402,JonSnow,68,24882,3550,44,598,Z,1,replays/2ndRun\6ed7dc76c0f94dd8b1ba1f86a05d7a9f.SC2Replay
403,NoPinSea,53,16702,2375,10,573,P,1,replays/2ndRun\6eed263a29e74001af2bdfaf861397b2.SC2Replay
404,KingkOng,46,12466,2825,37,477,Z,0,replays/2ndRun\6eed263a29e74001af2bdfaf861397b2.SC2Replay
405,Patience,60,27583,950,5,753,P,0,replays/2ndRun\6ef78ec636c94c2c80c26e74d2f43720.SC2Replay
406,PiLiPiLi,51,25171,4550,15,729,P,1,replays/2ndRun\6ef78ec636c94c2c80c26e74d2f43720.SC2Replay
407,Replicant,54,22187,2775,28,706,T,0,replays/2ndRun\6f1b74fe932c40a2b86b71a0b88ab57b.SC2Replay
408,SouLeer,67,14628,6050,54,705,Z,1,replays/2ndRun\6f1b74fe932c40a2b86b71a0b88ab57b.SC2Replay
409,MarineLorD,66,58738,4000,31,1273,T,0,replays/2ndRun\6f3eb45a9fe94e6e9680f3c803057fab.SC2Replay
410,viOLet,65,107521,13050,82,1266,Z,1,replays/2ndRun\6f3eb45a9fe94e6e9680f3c803057fab.SC2Replay
411,GuMiho,72,41604,5675,76,903,T,1,replays/2ndRun\6f4a64f26221479a8517bc3f8f4c0639.SC2Replay
412,INnoVation,62,25908,6875,72,906,T,0,replays/2ndRun\6f4a64f26221479a8517bc3f8f4c0639.SC2Replay
413,HeroMarine,64,20600,4125,47,659,T,1,replays/2ndRun\6f54b5e5f6a64bea933f861cc7ee0616.SC2Replay
414,Silky,69,29217,5400,100,660,Z,0,replays/2ndRun\6f54b5e5f6a64bea933f861cc7ee0616.SC2Replay
415,Namshar,68,17726,3725,55,605,Z,0,replays/2ndRun\6f5cf2463409401584b573912e9f6e68.SC2Replay
416,HeroMarine,64,20795,2350,29,611,T,1,replays/2ndRun\6f5cf2463409401584b573912e9f6e68.SC2Replay
417,DisK,67,81846,5285,33,1116,P,1,replays/2ndRun\6f7187ba430544bdabbc4c6eeb94ae4e.SC2Replay
418,Mackintac,74,215781,13050,62,1145,Z,0,replays/2ndRun\6f7187ba430544bdabbc4c6eeb94ae4e.SC2Replay
419,soul,59,20306,700,14,560,T,0,replays/2ndRun\6f71b40a2fec46a8b5f0c5b4ba9eaae2.SC2Replay
420,Reynor,64,14609,3200,63,564,Z,1,replays/2ndRun\6f71b40a2fec46a8b5f0c5b4ba9eaae2.SC2Replay
421,JJAKJI,35,10697,1850,17,490,T,1,replays/2ndRun\6f7ad6be80c04cc4aa1f67b3ce6d359f.SC2Replay
422,liquidthermy,51,10351,1350,10,494,T,0,replays/2ndRun\6f7ad6be80c04cc4aa1f67b3ce6d359f.SC2Replay
