,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
516,Harstem,39,6156,500,3,361,P,1,replays/3rdRun\54be21e2e8984020a31088832c9f3b1a.SC2Replay
517,Neuro,34,6826,1600,28,361,Z,0,replays/3rdRun\54be21e2e8984020a31088832c9f3b1a.SC2Replay
518,FanTaSy,52,17449,2600,29,649,T,1,replays/3rdRun\54c690b16cc54280be8f9dc2d9d29458.SC2Replay
519,Geralt,53,23095,875,4,647,P,0,replays/3rdRun\54c690b16cc54280be8f9dc2d9d29458.SC2Replay
520,Zest,40,10622,375,2,467,P,1,replays/3rdRun\54d4ba170dcf4f62a0ae20794dc4f800.SC2Replay
521,MMA,45,13686,300,5,439,T,0,replays/3rdRun\54d4ba170dcf4f62a0ae20794dc4f800.SC2Replay
522,Toodming,34,4279,1100,13,322,Z,0,replays/3rdRun\54d859f5389a4dd3bed5466cf4552f03.SC2Replay
523,INnoVation,30,6519,400,5,320,T,1,replays/3rdRun\54d859f5389a4dd3bed5466cf4552f03.SC2Replay
524,ShoWTimE,55,24821,1350,6,741,P,1,replays/3rdRun\54e760e7be434b2db936a203933acbee.SC2Replay
525,ExpecT,46,21033,3625,40,724,T,0,replays/3rdRun\54e760e7be434b2db936a203933acbee.SC2Replay
526,MaNa,67,20287,1800,7,647,P,1,replays/3rdRun\55b1570b9bc14a3aaf005c1f8b0f9079.SC2Replay
527,MightyKiwi,51,12451,1300,19,625,Z,0,replays/3rdRun\55b1570b9bc14a3aaf005c1f8b0f9079.SC2Replay
528,Oobios,47,12277,2925,43,495,Z,1,replays/3rdRun\55c20637b8a34b829a4c6da690325c8f.SC2Replay
529,RaiN,35,13246,700,5,452,P,0,replays/3rdRun\55c20637b8a34b829a4c6da690325c8f.SC2Replay
530,Elazer,63,10707,2200,29,490,Z,1,replays/3rdRun\55d7c2712fe94b4f86a2716ae8c8e492.SC2Replay
531,Harstem,56,12636,1000,6,504,P,0,replays/3rdRun\55d7c2712fe94b4f86a2716ae8c8e492.SC2Replay
532,Rex,57,23810,5375,69,650,Z,0,replays/3rdRun\55d8c9868cf74def93ba69267b48df07.SC2Replay
533,Expect,60,20124,3500,40,647,T,1,replays/3rdRun\55d8c9868cf74def93ba69267b48df07.SC2Replay
534,Elazer,14,7358,2200,13,393,Z,0,replays/3rdRun\55e628f889aa46a59b6bdb85d4ac429a.SC2Replay
535,HeroMarine,25,4429,200,3,245,T,1,replays/3rdRun\55e628f889aa46a59b6bdb85d4ac429a.SC2Replay
536,Zest,61,46216,3125,12,781,P,1,replays/3rdRun\55f3c5ecf05a4ca0a02207038941b255.SC2Replay
537,Scarlett,73,66659,6500,83,990,Z,0,replays/3rdRun\55f3c5ecf05a4ca0a02207038941b255.SC2Replay
538,Cham,33,9455,975,13,449,Z,0,replays/3rdRun\56a5010467cb453aa0c82f05913a20fc.SC2Replay
539,Scarlett,40,13333,1000,10,448,Z,1,replays/3rdRun\56a5010467cb453aa0c82f05913a20fc.SC2Replay
540,PtitDrogo,49,10664,800,5,481,P,1,replays/3rdRun\56d1dc89a3404ef9a0c2c7550c0a4145.SC2Replay
541,DeMusliM,48,11420,1550,11,473,T,0,replays/3rdRun\56d1dc89a3404ef9a0c2c7550c0a4145.SC2Replay
542,Patience,48,11570,725,5,411,P,0,replays/3rdRun\56db588384544b1fb8cf07fb0e43ad7b.SC2Replay
543,Solar,52,13541,2825,60,503,Z,1,replays/3rdRun\56db588384544b1fb8cf07fb0e43ad7b.SC2Replay
544,RiSky,46,7240,1975,17,413,Z,1,replays/3rdRun\56de3956fd9a471d84345d0f2a5dfda7.SC2Replay
545,Sioras,31,12520,2700,39,419,Z,0,replays/3rdRun\56de3956fd9a471d84345d0f2a5dfda7.SC2Replay
546,OGZest,54,30622,2600,10,816,P,1,replays/3rdRun\56e77b3638404879937d532f43753c5a.SC2Replay
547,Elazer,55,58768,13500,117,1128,Z,0,replays/3rdRun\56e77b3638404879937d532f43753c5a.SC2Replay
548,ShaDoWn,50,18739,550,2,618,P,1,replays/3rdRun\56ef377b46ac4d0dab9c79b8b15e8c60.SC2Replay
549,Semper,43,17437,1275,12,569,T,0,replays/3rdRun\56ef377b46ac4d0dab9c79b8b15e8c60.SC2Replay
550,TRUE,37,9978,2325,57,449,Z,1,replays/3rdRun\56fc1f41adcc4b20862f2fd6da935e8c.SC2Replay
551,PiLiPiLi,44,10312,700,4,446,P,0,replays/3rdRun\56fc1f41adcc4b20862f2fd6da935e8c.SC2Replay
552,Cham,49,17145,5350,48,630,Z,0,replays/3rdRun\57a898b8c37b43a18d2dc4816b004611.SC2Replay
553,Scarlett,62,14807,6450,66,631,Z,1,replays/3rdRun\57a898b8c37b43a18d2dc4816b004611.SC2Replay
554,soO,16,7231,2050,33,360,Z,0,replays/3rdRun\57ab9f51e3454ed8be23978a9919a063.SC2Replay
555,lIIllllIIlll,29,6787,700,11,356,T,1,replays/3rdRun\57ab9f51e3454ed8be23978a9919a063.SC2Replay
556,HateMe,56,32346,7950,63,947,Z,0,replays/3rdRun\57b45abfca794d69ab2bf4b42ac13216.SC2Replay
557,TYTY,52,29783,3700,41,931,T,1,replays/3rdRun\57b45abfca794d69ab2bf4b42ac13216.SC2Replay
558,ShoWTimE,37,24511,1750,8,729,P,0,replays/3rdRun\57b5157140d3439d9bbfc3aefd7015bd.SC2Replay
