,player,total_workers,total_army_value,total_army,fraction,winner,replay_filename
356,SortOf,50,1800,28,Z,1,replays/1stRun\1fbef47a3d2746958b31cf243683af39.SC2Replay
357,PiLiPiLi,38,450,3,P,0,replays/1stRun\1fbef47a3d2746958b31cf243683af39.SC2Replay
358,MaSa,45,2275,23,T,0,replays/1stRun\1ff246d9ac8b4573b2e8171ff0a78f5c.SC2Replay
359,Neeb,65,1050,4,P,1,replays/1stRun\1ff246d9ac8b4573b2e8171ff0a78f5c.SC2Replay
360,Lambo,31,2525,53,Z,0,replays/1stRun\2a1af91059cb4acf982e4e9399a51c98.SC2Replay
361,TSGSolar,42,1800,36,Z,1,replays/1stRun\2a1af91059cb4acf982e4e9399a51c98.SC2Replay
362,FireCake,12,100,1,Z,0,replays/1stRun\2a27a859360c41368de7e092f0a9e422.SC2Replay
363,Polt,12,0,0,T,1,replays/1stRun\2a27a859360c41368de7e092f0a9e422.SC2Replay
364,Elazer,74,10450,86,Z,0,replays/1stRun\2a8eccd4656a4fcc80b5a047c397895c.SC2Replay
365,Serral,67,9850,85,Z,1,replays/1stRun\2a8eccd4656a4fcc80b5a047c397895c.SC2Replay
366,FireCake,35,4350,41,Z,0,replays/1stRun\2aa95638cbbb444489fc6ff677f747a4.SC2Replay
367,Polt,51,1725,18,T,1,replays/1stRun\2aa95638cbbb444489fc6ff677f747a4.SC2Replay
368,Lambo,66,4250,66,Z,1,replays/1stRun\2abab53d5a684e45b56814fa6a3dc8f8.SC2Replay
369,Harstem,64,1975,10,P,0,replays/1stRun\2abab53d5a684e45b56814fa6a3dc8f8.SC2Replay
370,Pokebunny,42,1400,13,T,0,replays/1stRun\2af9e5f6230f4e9091c7079df8b52629.SC2Replay
371,BLY,50,3375,37,Z,1,replays/1stRun\2af9e5f6230f4e9091c7079df8b52629.SC2Replay
372,HuT,71,7325,74,T,0,replays/1stRun\2afa55343f4f41ccbd1bea1f66b110c8.SC2Replay
373,JonSnow,80,7625,126,Z,1,replays/1stRun\2afa55343f4f41ccbd1bea1f66b110c8.SC2Replay
374,Serral,40,1550,25,Z,1,replays/1stRun\2afbc4f19cfd40dda6d69cea7dde0034.SC2Replay
375,soO,42,1450,21,Z,0,replays/1stRun\2afbc4f19cfd40dda6d69cea7dde0034.SC2Replay
376,ShoWTimE,23,500,3,P,0,replays/1stRun\2affedb13c2a4034b734228ec8242cdd.SC2Replay
377,Stats,28,950,4,P,1,replays/1stRun\2affedb13c2a4034b734228ec8242cdd.SC2Replay
378,Pure,40,775,5,P,0,replays/1stRun\2b170598d0854fc69035c408c2104682.SC2Replay
379,Cuddlebear,37,700,14,T,1,replays/1stRun\2b170598d0854fc69035c408c2104682.SC2Replay
380,SortOf,55,2450,38,Z,1,replays/1stRun\2b6961a7655d460484f2eb1c48d13f19.SC2Replay
381,ShahriarDeMi,41,1050,11,T,0,replays/1stRun\2b6961a7655d460484f2eb1c48d13f19.SC2Replay
382,PandaBearMe,17,850,20,Z,1,replays/1stRun\2b72aab40fa34f2caf25b635de6d18df.SC2Replay
